,rating,rating_title,rating_description,rating_pros,rating_cons
14,3.0,Good,Creative team work alone work know the brand know their tools listen foresee socialise communicate take brakes give feedback don t take gratitude for all be yourself question learn to take no for an answer overall good experience,,[]
15,3.0,Fun culture with dynamic workmates. Google Operations Center is the Customer Service subsidiary of Google. It is different from Google Philippines,"Workmates are fun, you can explore other lines of business through horizontal movement but promotion can be slow unless someone from leadership resigns or if you are really exceptional with your work. Since it is a customer service business, policies are very similar to other well-known BPOs in the PH. ","Free lunch, laptop is provided, no salary disputes",[]
16,5.0,Great People and Great pay,"Google has a great culture, very inclusive and fostering a sense of community. I worked hard but felt rewarded and recognized for my contributions. Would recommend! ",,[]
17,5.0,"Pretty good place, creative people","Great people.                                                              Cool work environment, would definitely recommend to anyone else starting out",Everything,[]
18,3.0,"Good pay, low PIP culture. But still very stressful, as everyone is an overachiever and lot of times you feel people fight for nothing",Work is stressful with a lot of deadlines. Great pay and low PIP culture though. Just feels it becomes a place in which a lot of smart people gather together and try hard to overwork and fight with each other for nothing.,,[]
19,4.0,Bonne boîte,"Bonne entreprise, toujours la possibilité de découvrir de nouvelles choses.Environnement agréable.",,[]
20,5.0,"Great company, amazing people",No complaints aside from work load can be exhausting aside.Great opportunity to work with a tech and industry leading organization who’s most valuable resource are its employees,Free lunch amazing healthcare and bonuses,[]
21,5.0,amazing ,Really loved it. such a great time. entire team was great. the work environment is so professional. highly recommend you and your friend applying and working here you will love it,,[]
22,4.0,Très belle expérience,"Une superbe entreprise où vous avez les clés pour exceller, entourer de personnes très compétentes et bosseuses. Un management collaboratif et humain, même si les objectifs sont ambitieux. Des process et décisions rapides malgré la taille de l'entreprise.Une société dans laquelle vous allez vous éclater autant humainement que dans le travail.","repas gratuits, environnement de travail, équipe compétente",[]
23,5.0,Great work environment,"The environment in the office is amazing everybody’s supportive and wants to see you win, The pay is phenomenal and really gives people a chance to change their lives you just have to be willing to put in the effort to make a change.",,[]
24,5.0,This is my dream job,"Everything about Google is absolutely amazing. I couldn't be more grateful to be a part of this organization. Google looks for employees who are self-driven, fun, creative and outspoken. ... In addition to the right skills, recruiters are looking for a personality that fits well with the Google work atmosphere. Happiness Is Key. Human resource is known as “People Operations” at Google to make it sound more friendly","free lunches, sleeping space, co working space",[]
25,4.0,Productive and fun to work,Very nice work environmnt. Willing to put effort. Nice coworkersNice benefits Good compensation But hard caseloadHave to put some time to do more work,,[]
26,4.0,Good place to start career,I love working with my team and my team is going to be a good fit for me. I really enjoyed the time in Google and it was really nice to hear feedback ,"Money, perks",[]
27,5.0,Google is so great i love working there,"Exciting and engaging place to learn, obviously a very fun workplace environment, amazing company in general. Definitely the place to be if you're looking for a cool job",,[]
28,5.0,Good company,"Good management, work-life balance. Too much politics goes on at the management level. Good diversity and inclusion. Very advanced compensation packages ",free lunch,[]
29,5.0,"Awesome place to work, but your mileage may vary","There are a ton of interesting things to work on, but the overall impact of what you do might vary. A lot of the work feels very inconsequential, and if you want to make a deep impact and understand things end to end, this is a difficult place to be, because things move so fast and so many things change all the time.",,[]
30,1.0,Not a great place to work,I'd not like to work for this company. It's all about numbers and management is always pushing employees to the edge with unrealistic deadline and poor support. ,"Free gym, Good healthcare",[]
31,4.0,Buen ambiente laboral,"Es un buen trabajo respecto a la paga, pero conforme pasa el tiempo, se vuelve estresante",Experiencia,[]
32,4.0,Good worklife balance to pay ratio,"Good internal tooling makes speed to production potentially good, but management is a bit slow. Promos not as fast as at FB/Meta, but WLB can make up for that.","Free food, great pay, wlb",[]
33,4.0,great company,"great company and I enjoyed working in Google:) You will have the chance to collaborate with many smart, friendly people. Fast-paced environment yet you can learn a lot of useful things.",,[]
34,2.0,Unprofessional work place ,"Everything  on the  value,  interviews,  salary,  benefits,  were all lies. Please  Dutch  people,  don't  make  .mistakes  leaving your  country for these   fraudulent companies  in Ireland,  they  destroy  people  life's and future,  There was no  salary  increased,,as stated  on their  contract,  They play  mentally with your mind,  to accept  humiliation  and disfunction  oppression  to stay  in the company. The progression  process  can easily be manipulate  , so  you  don't  grow. The is disturbing,  but it must  be said,  they don't  appreciate  talent  or professionalism,   they  want unprofessional,. Gullible and very  sick  people  with  low self esteem,  to keep and use  inhumane way. ",Profitable for Single people,[]
35,5.0,bam,"Locals only, Old machines, low pay. High priced health insurance.Machines were out-dated to the point where parts were no longer available. No training was made available. Company was seldom able to order parts because they did not pay their bills so parts could not be ordered. The culture was like working at a high school shop class. Management was not in touch with what was going on on the production floor. No communication.",bam,[]
36,5.0,Best company I've worked for,"It's a great company to work for - benefits are unbeatable, and great collaborative culture.  I miss it!As the company grows, job specialisation becomes too narrow, and career progression is stunted. ","Benefits, Culture",[]
37,5.0,Productive and fun workplace,"Productive and fun workplace, Pros1) Food, food, food. 15+ cafes on main campus (MTV) alone. Mini-kitchens, snacks, drinks, free breakfast/lunch/dinner, all day, errr'day.2) Benefits/perks. Free 24:7 gym access (on MTV campus). Free (self service) laundry (washer/dryer) available. Bowling alley. Volley ball pit. Custom-built and exclusive employee use only outdoor sport park (MTV). Free health/fitness assessments. Dog-friendly. Etc. etc. etc.3) Compensation. In ~2010 or 2011, Google updated its compensation packages so that they were more competitive.4) For the size of the organization (30K+), it has remained relatively innovative, nimble, and fast-paced and open with communication but, that is definitely changing (for the worse).5) With so many departments, focus areas, and products, *in theory*, you should have plenty of opportunity to grow your career (horizontally or vertically). In practice, not true.6) You get to work with some of the brightest, most innovative and hard-working/diligent minds in the industry. There's a ""con"" to that, too (see below).Cons1) Work/life balance. What balance? All those perks and benefits are an illusion. They keep you at work and they help you to be more productive. I've never met anybody at Google who actually time off on weekends or on vacations. You may not hear management say, ""You have to work on weekends/vacations"" but, they set the culture by doing so - and it inevitably trickles down. I don't know if Google inadvertently hires the work-a-holics or if they create work-a-holics in us. Regardless, I have seen way too many - more...",,[]
38,2.0,Okay place,"A good place to learn, overall collaborative culture. But, it depends on what location you are in and there are times when you feel disconnected.  Lot of new technology to learn from, but a very fast work environment and difficult to balance work/life.","free lunches, teamwork, great tech",[]
39,5.0,Good company,"Best company to wrk with, talented people, good boss, good benefit, enjoying life, good bounus, fun place to work, lots of free food, cool things to learn",,[]
40,4.0,"Great for FTE, contractors beware!","First of all, amazing tech stack, great engineers, interesting projects, more knowledge and resources available than you can handle. You have to learn all the time and not stick to some specific stack as there's constant development and deprecation going on. Not the environment for everybody but if you have a boy-scout attitude you will be happy there. I am for this part.For the organizational aspects it's not great though. A lot of chaotic changes happened just so that someone can have a great performance evaluation to jump to another team after which the project is forgotten (I've seen it happen many times). It's amazing how many resources are wasted for meaningless work. It's sad to see engineers taking over management tasks from incompetent managers just to get work done.For the cultural part, don't be fooled - it's not the same open and inclusive company as it used to be. People get fired for saying the ugly truth. The hierarchy is much more enforced than it used to be (in my org tree). Make sure you work there as a full-time employee (FTE) and not let's say a contractor. If you're a contractor like me, doing the same full-time engineering work as my FTE peers and for many years just on different contract (but same NDAs), prepare for getting different treatment. This is sad especially that the majority of the workforce are contractors/vendors etc. Some examples:- I need to pass some security trainings annually which say that contractors/temps/vendors are trouble and a security threat. - I receive a lot of company-wide communication inviting me to events and trainings - more...","amazing tech stack, constantly learning new things, good salary",[]
41,4.0,good place to work,best of the companies that I have worked for. it is difficult to get promoted and requires extra efforts to get recognized. working with super technical people can sometimes be challenging.,a lot to learn,[]
42,5.0,amazing ,Really loved it. such a great time. entire team was great. the work environment is so professional. highly recommend you and your friend applying and working here you will love it,,[]
43,5.0,I like the job,I like the job a lot its really nice here. a lot of good food and a lot of good cultures i would love to come back here in the future when I am settled down ,food,[]
44,4.0,Good culture and sense of security ,Among the big tech companies Google does have a comparatively better culture in terms of being supportive and understanding towards their employee especially during the pandemic. ,,[]
45,5.0,You want to work there,The company is built around the engineer.Problems are extremely challenging but the tools at hand are a great help. Professional code in the whole repository never gives you any headaches.Software engineering is total fun here.,Work culture,[]
46,4.0,Google is rad,"As a avid Googler my day consists of making sure our systems are up and running and customers get the results they expect.  The company is supportive but working remotely, they've been a little difficult and want to cut my salary",Benefits - free lunches,[]
47,5.0,Great place to go for WLB and to be spoiled,"There are lots of benefits and perks to working here. Management is generally supportive and cares about your well-being and career growth. The work is not always interesting, can sometimes be frustrating and take a long time to reach production. ",,[]
48,4.0,It's a nice place to work,"I enjoy working at Google. The pay is decent and the people are nice and helpful. The management was supportive and wanted me to get ahead. But form what I've heard, it depends on the team you're in. ",,[]
49,4.0,New isnt always a great idea,The origional leadership was amazing. They provided all tools necessary to perform at ones best. Telus on the otherhand is contracted by Google.Telus leadership is clicky. They promote as a popularity status as opposed to a skill level.,,[]
50,5.0,Good place to work,Nothing bad to say. The management is experienced and friendly. Colleagues were friendly and always willing to help me if I  had questions about my job.,free meals,[]
51,5.0,Productive and helpful work environment,Management is generally helpful but if they get busy you're kind of on your own. Everyone around me is super helpful which was nice when I was first starting out. ,Helpful coworkers,[]
52,5.0,Good place to work,"Great place to work, enjoyed working at Google, good company but it depends on team where you are working. Sometime team could be bad, so if u are in a good team, u will like it there","Good place to work, a lot of opportunities",[]
53,5.0,"Overall great company, smart people and great benefits","WFH at the moment with the option to go into the office. Good amount of time with clients but way too many internal meetings. Self promotion and side projects are keys to success, not necessarily your day to day tasks. Many opportunities to learn and network and you can fill that in with other trainings on diversity and personal growth. Culture varies by team, but for the most part everyone is friendly and willing to help. Total opposite of 'cut-throat.' However, that also breeds some complacency.Hardest part of the job sometimes is staying motivated because there's little incentive to keep pushing at times. Loads of filler meetings where nothing gets accomplished. Best part is work/life balance, benefits and team culture. Worst part is up-leveling your position in the company (management track is non-existent), the promotion process (only getting harder and longer for long time Googlers), and the inability to obtain more money (no room to ask for a 'raise' as it's all done algorithmically and even in sales it's fairly difficult to blow your quota out of the water, albeit you will usually hit your goals or come close).","Free lunches, cell phone reimbursement, gym reimbursement, great 401K match, backdoor 401K eligibility, solid WLB, global reset days (days off), very smart colleagues, management that seemingly cares about you as a person. 3 days in office, 2 days home.",[]
54,4.0,Good job,It is good if you want to figure out what you want to do as a career but also we had very good food from the start and amazing food trucks. I’m thankful for the experience,,[]
55,5.0,productivity,Yes working in google gives a goose bumps. its really good company to work. as of now my experience with google i feel happy and wish i wilo be happier more thsn now,,[]
56,4.0,productive and fun with ping pong table ,has a ping pong table. A work day was fun life was great. Management was cool. I hated the fact that we had 5 minute breaks. i liked the fact that I was able to help people/,,[]
57,5.0,Great place ,I loved working at google so much. They are an amazing company and do good things. I love it at google so much. I use google a lot in my life and they are great ,Great,[]
58,5.0,Ingolstadt und Umgebung,es war eine sehr schöne zeit und sehr abwechslungsreich.,,[]
59,4.0,Goof,Pretty good work job I mean not much work just pretty much did busy working but was overall good and I enjoyed. Many many perks on the office such as gym caf. ,,[]
60,4.0,Its great,"Google does a great job I really enjoy the workd and I feel like we are on the cutting edge of ML and data science which is an area I have passion in, so I feel great waking up in the morning.",Great environment,[]
61,2.0,Ok ,if you're looking for quick cash this is the job for you. Don't expect to keep your job for more than a month if you don't make a sale. No commission just hourly pay. ,flexible,[]
62,5.0,Ok,"Not bad at all, very high tech and good culture to work in, supportive as well. There are free lunches and unlimited PTOs, never a boring or dull day at work.",,[]
63,5.0,amazing ,Really loved it. such a great time. entire team was great. the work environment is so professional. highly recommend you and your friend applying and working here you will love it,,[]
64,5.0,Fire,"Preety chill place to work out. The place is filled with turbo nerds. But overall the pizza fridays are straight fire. I give it 5/7 stars, would work here again in another lifetime.",Cute secretaries,[]
65,5.0,Excellent Company,"great place to work, nice people, interesting, impactful projects. Lots of great perks, and very supportive culture. Hardest par to job is learning to navigate the large company quickly. ",free lunches,[]
66,3.0,A dream come true!,"Working as a programmer at Google has been amazing... for the most part. My typical day involves meetings with my co-workers, programming on my own, and the occasional peer reviews. Overall, Google treats its employees like kings and I will never forget that. ",,[]
67,5.0,Work for them ,"Company is great and great pay with benefits pay  Time all the time and vacation and family package is amazing so do PTO, if you make it into the door I highly recommend to look into it ",Package,[]
68,3.0,Experience is dependent on your org,"Google overall as a company is fantastic, but it highly depend on the org and team you join and are a part of.  I accepted a role that was not of my primary interest with the hopes of learning something new and transferring internally.  Turns out it is just as competitive to transfer internally than apply as an external candidate, and since COVID, if you're not in the right part of the business, there are no open roles.",,[]
69,2.0,Nao respeita as leis braisleiras,Nao respeita as leis brasileiras ou regras basicas de trabalho em qualquer lugar do mundo,,[]
70,5.0,"WLB, enjoy the work, team members are kind, host/co-host are also nice to me.","Pros1) Food, food, food. 15+ cafes on main campus (MTV) alone. Mini-kitchens, snacks, drinks, free breakfast/lunch/dinner, all day, errr'day. 2) Benefits/perks. Free 24:7 gym access (on MTV campus). Free (self service) laundry (washer/dryer) available. Bowling alley. Volley ball pit. Custom-built and exclusive employee use only outdoor sport park (MTV). Free health/fitness assessments. Dog-friendly. Etc. etc. etc. 3) Compensation. In ~2010 or 2011, Google updated its compensation packages so that they were more competitive. 4) For the size of the organization (30K+), it has remained relatively innovative, nimble, and fast-paced and open with communication but, that is definitely changing (for the worse). 5) With so many departments, focus areas, and products, *in theory*, you should have plenty of opportunity to grow your career (horizontally or vertically). In practice, not true. 6) You get to work with some of the brightest, most innovative and hard-working/diligent minds in the industry. There's a ""con"" to that, too (see below).",,[]
71,5.0,Grrag,"Good please to work at. Loving culture, great benefits, sometimes difficult for women to advanced temps have stiff competition when trying to permanent. ",Free food,[]
72,5.0,Good place to work,Google is great. The managers take care of their employees a lot.They emphasis a lot on learning.They always ensure that a new employee always feel comfortable.Work life balance is great here .Every team member is very friendly and helpful.All employees are valued and respected here.,Good people,[]
73,5.0,Productive and fun workplace,Great pay  long breaks great managers reasonable flexible hours awesome benefits easy hiring process excellent teamwork displayed amazing discounts I loved it,Long braids great,[]
74,4.0,Super fun with a lots of benefit,Main Task: doing nothing until 5pm after that a bunch of colleagues meet the managers and launch with them .In the afternoon a minimum of character will write inside the compiler ,,[]
75,5.0,Nice and productive,Work place is very good nice environment. Stressless work. I enjoy my work  I also suggest my friend to join this company and earn a handsome income without any stress,Nice environment,[]
76,5.0,Work on big challenges,Amazing company and work with amazing people! The culture rewards risk taking and creative thinking. You can never keep bored as their many different areas you can explore for professional development. ,,[]
77,5.0,"Yes, it really is that good, with a couple trade-offs","Yes, I finally made it to Google. Yes, it's as good as they say it is. Great work-life balance, great projects, smart and kind teammates, opportunities to touch billions of users. The trade-offs: you'll likely be down-leveled on the way in and your compensation will reflect the lower level. ","Job security, benefits, kind teammates",[]
78,5.0,Great workplace ,"Great workplace to start off your career. Very supportive management, good pay. Could be better at recognizing associates over performance. Overall recommend ",,[]
79,5.0,Great place to work,Every team member feels valued and you leave work every day feeling like you know more than when you came in. Everyone is very helpful and a great learning environment ,free lucn,[]
80,5.0,Productive work experience ,Very productive work environment. Really good benefits. Enjoyed working there and would work there again. Had some really good benefits and perks. Great company,,[]
81,5.0,Interesting every day,Beautiful work environment. Fun culture with leading edge technology. Good atmosphere at our location. Job was always evolving and taking on new challenges.,Nice people and great physical location.,[]
82,4.0,"It was fun working with my team then , and we share a lot of experience","The only problem I have with them is that , the time I work for them to update the Lagos state map , with they award the contract to Polaris digitech in Lagos , I was one of the driver that did a great job , but they are not care about us ","They are caring, but the contractor was not good enough",[]
83,4.0,"Incredible benefits and compensation, great coworkers, difficult work","If you are looking for a large company to work and grow comfortably in, this is the place to be. The benefits are everything you've heard and more, though work expectations are high. Almost all of my coworkers were high-performing diligent worker and the management was heavily hands on. Performance review cycles and promotion can be cumbersome, and the general size of the company means bureaucracy and communication between departments is difficult. Internal divide between the treatment of contract workers and full-time workers causes friction, and the companies mission and direction are becoming increasingly corporate.","Salary, Benefits, Food, Coworkers",[]
84,5.0,amazing ,Really loved it. such a great time. entire team was great. the work environment is so professional. highly recommend you and your friend applying and working here you will love it,,[]
85,5.0,Software Engineer,"Great place to work and develop your career. A lot of perks and guidance was provided throughout my time there. I would love to go back and work here again, recommend!",Free lunches,[]
86,5.0,Ok,"Again, companies want to hire people who are passionate about the job, so you should have a great answer about why you want the position. (And if you don’t? You probably should apply elsewhere.) First, identify a couple of key factors that make the role a great fit for you (e.g., “I love customer support because I love the constant human interaction and the satisfaction that comes from helping someone solve a problem”), then share why you love the company (e.g., “I’ve always been passionate about education, and I think you’re doing great things, so I want to be a part of it”).",,[]
87,4.0,Good work life balance & but crowded,"- Good work life balance- Crowded, lack of opportunity to grow- Respectful environment- Good compensation- Steep ramp up curve- Free meals and snacks",,[]
88,5.0,The Culture,"Team driven, individual achievements are celebrated, and you feel like part of something. Be well organized and able to adjust to changing market conditions for continued success",Bonuses,[]
89,3.0,"Great people, experience varies greatly between organizations and managers","I've learned a lot during my time at Google. It's a good company filled with genuinely helpful people. The compensation, perks, & benefits are also top notch. Unfortunately, the management experience and work life balance can vary GREATLY based on your org, team, job title, etc. I've had great managers and horrible ones. It's a luck of the draw. The promotion process is also a huge pain point across the company. Slow, drawn out, and more political than it should be for a company that prides itself on being objective and data driven. ","Pay, benefits, food, professional growth",[]
90,5.0,Empresa que ajuda quem gosta de programa,"Sem palavras aprendizagem excelente, ajuda bastante com o App de desenvolvedor","Tanto faz, queria mesmo trabalha em casa",[]
91,5.0,Good,The culture is in alignment with this area of the country and my own. I felt supported. They encourage personal and professional growth. Google will continue to do great thinks. ,,[]
92,5.0,Fun love ,Love this place amazing work and people there r amazing! The work ethic is excellent! The employees respect one another and it’s flexible at your own pace,Lots,[]
93,5.0,Great Place to work,The culture is in alignment with this area of the country and my own. I felt supported. They encourage personal and professional growth. Google will continue to do great thinks. ,Staff,[]
94,2.0,Overall rate 3/10,Overall rate 3/10....Try to mold and confuse new employees with too much unreasonable expectations and not enough proper training or support....It's quite misleading before joining the company and then false after doing so.... Pretty unfair a d bad and no empathy or sympathy whatsoever:(,Longer breaks as per management schedule though,[]
95,5.0,Amazing,a new grad great pay everything. love my team. love my manager. love the happy hour. love the benefitd and pto. great pay. love the bay area. in love with everything about the compnay. ,everything,[]
96,5.0,I am hired as a vendor,"I find little to no disadvantage working in Google Cloud. The only setback as a vendor is that you get your contract renewed annually. So there's a risk in terms of stability. Other than that I think the comps, the culture, the food, the office are all great to work at. ","Free lunches, gyms, great comps",[]
97,1.0,Extremely poor management and exclusion of contract workers ,"Was working for Google on behalf of a recruitment agency (on a contract). It is the worst experience I have ever had in my career. I am a senior employee with lots of experience and have always enjoyed being a consultant. At Google, consultants are not treated like human beings. The management swore at me and the team constantly, gave timelines on projects that did not take any consideration of weekends, holidays, etc. We are not allowed to ‘speak to Googlers’ (these exact words are used) - we are only allowed to speak to our recruitment agency, but Googlers are allowed to speak to as in any way they want, when they so wish. We cannot complain, we do not get any benefits. Since the pandemic we have worked from home and we got nothing to help us. No budget for desks, no budget for extra screens. No questions of how we were doing. I have never in my career experiences worse treatment of human beings in a workplace and I am very happy that I can find a job elsewhere. I have it three years, has three different contracts with Google during this time. Recommend no one to work for Google, contract or not contract. People should be treated the same.",,[]
98,3.0,not bad,"for a newbie its a good company , good start but there are also some better companies between IT  world, i would suggest trzing it and getting out to th",free lunch,[]
99,5.0,Great,Great company great because they allow time off love they have and work life balance maybe needs better management and cakes for a biethday hour or two then ,,[]
100,5.0,Great Work enviroment,Google is such an amazing place you are part of a big group of people who are high motivated driven success and are willing to chop in half if you arent one of them,Free lunches,[]
101,5.0,Google is simply amazing,Your growth in the company directly depends on the efforts you put in and results you produce. So always need to be on your toes and continue to work towards challenging goals.,"Amazing work culture, cutting edge work, flexibility and independence, awesome food",[]
102,5.0,Productive atmosphere,Great place to work. Solid management. Good hours and pay. Room for growth and raises. Overall good treatment of their coworkers. I would recommend working here.,,[]
103,5.0,Great job,"good place to be in, provides a lot of benefits and advantages for its employees and is very inclusive. Best - people and the pay Worst- sometimes super deamdning; perks aren't the best",,[]
104,4.0,Great people and culture but not a great place for a Designer,"Google is very engineering and data driven and the expertise as a Designer doesn't count for much. While it is possible to advance in the career as a Designer, this is not a design-driven or even user-oriented culture. Everything needs to be broken apart and a/b tested, to a point where the parts no longer form a meaningful whole.","Opportunities to learn, internal mobility, good culture",[]
105,5.0,amazing ,Really loved it. such a great time. entire team was great. the work environment is so professional. highly recommend you and your friend applying and working here you will love it,,[]
106,5.0,Great work culture,Excellent work culture with good teamwork. Great managers who help you and make sure you’re learning on the job and doing all you can to improve on yourslef,,[]
107,3.0,A great place to sell your morals!,"From a business perspective, Google is a great employer! The programmers are well compensated, have great benefits, and get to move around within the company to find a place they fit. The employees I worked with were very kind and seemed to actually care about me as a person. However, management has been slowly moving away from what the company used to stand for (doing what was right, valuing employees as individuals, etc) and moving more towards a traditional business (profit-driven). I personally felt like I couldn't continue working and sleep with myself at night.","Free lunches, unlimited sick days, flexible schedule",[]
108,4.0,Intern ,A typical working day as a Google Specialist involved interactions with customers and PC World staff members. It can range from a very serious conversation about Google's products with a tech savvy customers to a very simple and amusing conversation with an elderly customer who knows nothing about technology. ,,[]
109,5.0,Good ,Excellent Place to workGood opportunities Cool Management Encouraging friendly environment Fun to  work I'm happy to work at this company Good luck!!,,[]
110,5.0,Fun places to work at,Great cultural environment and potential for growth and The management had not implemented a specific training program for the job title for new hires ,,[]
111,5.0,Productive,Very fun place to work enjoy the people and the free food. Management is great and very helpful with growth opportunities. Learning a lot in my current role,Free lunches,[]
112,5.0,Good,Good place to work good environment and good overall not sure what else you would need. Just keep pushing for your goals and it’ll be met with your gro th,Salary and people,[]
113,5.0,Productive company ,"Great company to work at, really care about the employees. Fun atmosphere. No issues with management or higher ups. Great place to work. Just filling this out to see what others think ",,[]
114,5.0,cool,"tout est au top rien à redire, allez-y les yeux fermés",,[]
115,4.0,I work as an independent consultant. Most standards do not apply to me.,The individuals that work at google are not team players.Each business unit seems to work closely within their group. Sharing information is not a priority. ,good work location in NYC,[]
116,5.0,Best Environment and Amazing Management,"I love working here. Despite being underpaid for my value, I don't mind that much because of how stress-free I am every day. My team is great and our managers are extremely supportive. The work-life balance is a huge plus as well. Overall, the environment sells here. ","Great workplace environment, Supportive management, Work-Life balance",[]
117,5.0,Garuda aerospace,Good company like Garuda aerospace Pvt Ltd.good job and less tension work.everyone should work here to learn more talent .it will be easier job to everyone,,[]
118,5.0,nice,I was fun working there I had a grate time. I gained grate experience. Free lunch and fun people will give you grate memory. If you can you should defiantly go for it.,,[]
119,5.0,Long hours,I always had to work long hours. Besides that it was a good job. Highly recommend it. If you want to growth this is the place to go. But remember you will have to work hard.,,[]
120,4.0,Productive and fun,"It was a good overall job, I have few complaints about it. Generally would recommend. Would love to go back, but sadly personally life situations forced me to give up the job.",,[]
121,5.0,Really good place to work,I am excited about going into work every day. I really enjoy the type of people that work here. They're creative and always looking to help you succeed. I would recommend this place to anyone.,,[]
122,4.0,Excellent place to coast,"Exceptional WLB, great colleagues, perked-up offices, very competitive compensation. The culture is vibrant and upbeat. Almost non-existent performance expectations. Overall, they go to great lengths to spoil employees.On the other hand, most work feels menial compared to the brainpower they hire. The safety net can prevent you from taking risks and growing.",,[]
123,4.0,A good place to learn stuff ,Google probably has the best infrastructure in the whole industry and is a great learning opportunity if one is enthusiastic about technology. The compensation and career growth are just mediocre,,[]
124,5.0,I loved my coworkers ,Everybody that I worked with at the mezz café worked perfectly good together. I was there for 5 years and I loved it. I will go back in a heart beat if I have the chance. ,Everything,[]
125,3.0,"Decent, but large enough to be challenging","Overall, I feel decently supported here thanks to a collection of great coworkers. However, there is not as much professional development as I would like and the salary is adequate but nothing special. ",,[]
126,5.0,amazing ,Really loved it. such a great time. entire team was great. the work environment is so professional. highly recommend you and your friend applying and working here you will love it,,[]
127,4.0,Great place to learn & grow,"I joined Google out of school as a product manager - it was a top place to develop PM fundamentals and learn about multiple industries. The company is huge, and the more senior you get at Google, the more procedural the work becomes. Some people like this - you can definitely coast and have good WLB at Google - but there can be a lack of urgency.",,[]
128,5.0,Productive and fun place to work,"Good life work balance. They have good pay. Working environment is nice and fun. Free meals, free coffee, free snacks. Work with most talented people.",Free lunch and dinner,[]
129,5.0,Fun and productive place ,"Very supportive management, good time frames given to complete tickets. Good team work, rewarding work and salary. Also I get to tell people I worked at Google. ",Free dinner,[]
130,5.0,Bdr,"Alright company, but its too big and unstructured. Makes it difficult to find the right people and find the correct information. Needs to be managed better and more inclusive",Good for resume,[]
131,3.0,Could be better ,"lots of politics in spite of mandate for ""googly-ness"".  Very hierarchical structure. No help with career growth or advancement outside of engineering discipline. Unfriendly, closed atmosphere. ",Free food 24x7,[]
132,5.0,Excellent coworkers; upper management is a little out of touch,"I love working here.  My manager is fantastic and has been amazing during pandemic (and also before that, too!).  The work is often challenging and rewarding. Upper management is kind of out of touch and often very slow to make decisions.  I've got great job stability.  If your only priority is to ship products, this might not be the place for you.  ",,[]
133,4.0,good,"Nice people, good pay for work being done. Workplace culture is competitive but good because you work hard since it's competitive I recommend working here",,[]
134,5.0,product mgmt,"ok just very demanding. Not worht it if you value work life balance, can be some what toxic but the pay is GREAT so if you like cash ogo for it ! ppl and manag",,[]
135,1.0,not for me ,"dont work here, dontrecommend it . it was not a good eperience for me. recommend looking eslewhere for your employment it.s not a great place to wkr at all",,[]
136,4.0,Overall good,Work is demanding and challenging. but overall good experience.  money is good. Benefits are avg and comparable to other firms. More management communication woudl be good. ,"Free lunches, high quality work",[]
